title,author,genre,description
To Kill a Mockingbird,Harper Lee,Classic,"To Kill a Mockingbird is a classic novel set in the 1930s, addressing racial inequality and injustice in a small town in Alabama."
To Kill a Mockingbird,Harper Lee,Classic,"To Kill a Mockingbird is a classic novel set in the 1930s, addressing racial inequality and injustice in a small town in Alabama."
To Kill a Mockingbird,Harper Lee,Classic,"To Kill a Mockingbird is a classic novel set in the 1930s, addressing racial inequality and injustice in a small town in Alabama."
To Kill a Mockingbird,Harper Lee,Classic,"To Kill a Mockingbird is a classic novel set in the 1930s, addressing racial inequality and injustice in a small town in Alabama."
To Kill a Mockingbird,Harper Lee,Classic,"To Kill a Mockingbird is a classic novel set in the 1930s, addressing racial inequality and injustice in a small town in Alabama."
To Kill a Mockingbird,Harper Lee,Classic,"To Kill a Mockingbird is a classic novel set in the 1930s, addressing racial inequality and injustice in a small town in Alabama."
To Kill a Mockingbird,Harper Lee,Classic,"To Kill a Mockingbird is a classic novel set in the 1930s, addressing racial inequality and injustice in a small town in Alabama."
To Kill a Mockingbird,Harper Lee,Classic,"To Kill a Mockingbird is a classic novel set in the 1930s, addressing racial inequality and injustice in a small town in Alabama."
To Kill a Mockingbird,Harper Lee,Classic,"To Kill a Mockingbird is a classic novel set in the 1930s, addressing racial inequality and injustice in a small town in Alabama."
Harry Potter and the Philosopher's Stone,J.K. Rowling,Fantasy,"""Harry Potter and the Philosopher's Stone is the first book in the popular Harry Potter series, introducing readers to the magical world of Hogwarts School of Witchcraft and Wizardry."""
Harry Potter and the Philosopher's Stone,J.K. Rowling,Fantasy,"""Harry Potter and the Philosopher's Stone is the first book in the popular Harry Potter series, introducing readers to the magical world of Hogwarts School of Witchcraft and Wizardry."""
Harry Potter and the Philosopher's Stone,J.K. Rowling,Fantasy,"""Harry Potter and the Philosopher's Stone is the first book in the popular Harry Potter series, introducing readers to the magical world of Hogwarts School of Witchcraft and Wizardry."""
Harry Potter and the Philosopher's Stone,J.K. Rowling,Fantasy,"""Harry Potter and the Philosopher's Stone is the first book in the popular Harry Potter series, introducing readers to the magical world of Hogwarts School of Witchcraft and Wizardry."""
Harry Potter and the Philosopher's Stone,J.K. Rowling,Fantasy,"""Harry Potter and the Philosopher's Stone is the first book in the popular Harry Potter series, introducing readers to the magical world of Hogwarts School of Witchcraft and Wizardry."""
The Hobbit,J.R.R. Tolkien,Fantasy,The Hobbit is a fantasy adventure novel that follows Bilbo Baggins as he embarks on a quest to reclaim a treasure from the fearsome dragon Smaug.
The Hobbit,J.R.R. Tolkien,Fantasy,The Hobbit is a fantasy adventure novel that follows Bilbo Baggins as he embarks on a quest to reclaim a treasure from the fearsome dragon Smaug.
